empresa,ano,metricas_cobertas,fonte,url,tipo_fonte
Magazine Luiza,2020;2021,receita_liquida;resultado_liquido;patrimonio_liquido;divida_liquida,Divulgacao de Resultados 2021 e 4T21 - Magazine Luiza RI,https://ri.magazineluiza.com.br/ListResultados/Download.aspx?Arquivo=JVbDMHnmykk14SNJ5pOIbg%3D%3D,Documento oficial de RI
Magazine Luiza,2022;2023,receita_liquida;resultado_liquido;patrimonio_liquido;divida_bruta,Demonstracoes Financeiras 31/12/2023 e 2022 - Magazine Luiza RI,https://ri.magazineluiza.com.br/ListResultados/Download.aspx?Arquivo=m4+3Hf24hD8w4AZnpHdpHg%3D%3D,Demonstracao financeira oficial (auditada)
Americanas,2021;2022,receita_liquida;resultado_liquido;patrimonio_liquido;divida_liquida,"Americanas (AMER3) tem prejuizo de R$ 12,9 bi em 2022 e revisa lucro de 2021 para prejuizo de R$ 6,2 bi - InfoMoney",https://www.infomoney.com.br/mercados/americanas-amer3-resultados-2021-2022/,Imprensa especializada (com base em divulgacao oficial)
Americanas,2023,receita_liquida;resultado_liquido;patrimonio_liquido;divida_bruta,Americanas tem prejuizo de R$ 2.27 bilhoes em 2023 - Poder360,https://www.poder360.com.br/poder-economia/americanas-tem-prejuizo-de-r-227-bilhoes-em-2023/,Imprensa especializada
Americanas,2024,receita_liquida;resultado_liquido,Americanas reverte lucro e registra prejuizo de R$ 586 mi no 4o tri de 2024 (dados do ano cheio) - Safras & Mercado,https://safras.com.br/americanas-reverte-lucro-e-registra-prejuizo-de-r-586-mi-no-4-trimestre-de-2024/,Imprensa especializada
Via/Grupo Casas Bahia,2022,resultado_liquido,Via Varejo tem prejuizo de R$ 342 milhoes em 2022 - Poder360,https://www.poder360.com.br/economia/via-varejo-tem-prejuizo-de-r-342-milhoes-em-2022/,Imprensa especializada
Via/Grupo Casas Bahia,2023;2024,receita_liquida;resultado_liquido;patrimonio_liquido;divida_bruta;divida_liquida,Destaques dos Resultados (4T25 e comparativos 2024/2023) - Grupo Casas Bahia RI (Mziq),https://api.mziq.com/mzfilemanager/v2/d/ce9bff9f-fb19-49b9-9588-c4c6b7052c9c/98ff8454-fb58-950a-2769-ce8ea162d454?origin=2,Documento oficial de RI
Lojas Renner,2021;2022;2023;2024,receita_liquida;resultado_liquido,Relatorio Anual 2024 - Lojas Renner RI,https://www.lojasrennersa.com.br/wp-content/uploads/2025/07/Relatorio-Anual-2024-LojasRenner.pdf,Relatorio anual oficial (RI)
